,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
93,7,3.778,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
94,7,3.584,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
95,7,3.384,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
96,7,3.796,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
97,7,3.363,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
98,7,3.256,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
99,7,3.276,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
100,7,2.944,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
101,7,2.891,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
102,7,2.911,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
103,7,2.841,0.0,2,5.49,60,0,1,0,0,0,0,0,0,0,0,0
104,8,3.949,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
105,8,3.755,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
106,8,3.763,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
107,8,3.771,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
108,8,3.743,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
109,8,3.561,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
110,8,3.357,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
111,8,3.728,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
112,8,3.321,0.0,2,5.44,60,0,1,0,0,0,0,0,0,0,0,0
113,8,3.197,0.0,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
114,8,3.213,3.7,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
115,8,2.887,3.0,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
116,8,2.82,3.0,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
117,8,2.846,2.7,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
118,8,2.774,3.7,2,5.44,36,0,1,0,0,0,0,0,0,0,0,0
119,9,3.625,2.7,2,5.54,12,0,0,0,0,0,0,0,0,1,0,0
120,9,3.525,1.7,2,5.54,12,0,0,0,0,0,0,0,0,1,0,0
121,9,3.493,1.7,2,5.54,12,0,0,0,0,0,0,0,0,1,0,0
122,9,3.536,0.0,2,5.54,12,0,0,0,0,0,0,0,0,1,0,0
123,9,3.472,0.0,2,5.54,6,0,0,0,0,0,0,0,0,1,0,0
124,9,3.407,0.0,2,5.54,6,0,0,0,0,0,0,0,0,1,0,0
