,EVAL MID PRICE
749,103.483
750,103.394
751,103.717
752,103.683
753,103.566
754,103.433
755,100.319
756,100.228
757,100.141
758,100.04
759,100.697
760,100.808
761,100.799
762,100.713
763,100.701
764,100.631
765,100.612
766,100.481
767,100.395
768,100.297
769,100.142
770,101.338
771,101.495
772,101.497
773,101.416
774,101.323
775,101.338
776,101.501
777,101.271
778,101.369
779,101.501
780,101.364
781,101.423
782,101.331
783,101.145
784,101.034
785,101.921
786,102.066
787,102.077
788,101.972
789,101.832
790,101.798
791,101.956
792,101.68
793,101.78
794,101.901
795,101.739
796,101.844
797,101.732
798,101.514
799,101.375
800,101.419
801,101.462
802,101.456
803,101.337
804,101.195
805,101.123
806,101.162
807,100.998
808,100.939
809,100.934
810,100.761
811,100.682
812,100.516
813,100.315
814,100.102
815,101.854
816,102.337
817,102.214
818,102.175
819,102.151
820,102.428
821,102.903
822,102.123
823,102.831
824,103.144
825,102.991
826,103.496
827,103.603
828,103.42
829,103.415
830,103.556
831,104.082
832,103.92
833,103.806
834,103.735
835,104.167
836,104.781
837,103.486
838,104.651
839,105.032
840,104.848
841,105.582
842,105.647
843,105.426
844,105.453
845,104.943
846,105.572
847,105.308
848,104.798
849,104.874
850,105.369
851,105.762
852,104.214
853,105.587
854,105.88
855,105.828
856,106.624
857,106.649
858,106.642
859,106.557
860,101.415
861,101.439
862,101.366
863,101.227
864,101.073
865,101.025
866,101.101
867,100.927
868,100.875
869,100.88
870,100.713
871,100.626
872,100.466
873,100.274
874,100.065
875,101.145
876,101.411
877,101.411
878,101.416
879,101.82
880,101.873
881,102.091
882,101.715
883,101.928
884,102.011
885,101.904
886,101.956
887,101.878
888,101.721
889,101.594
890,101.939
891,102.33
892,102.284
893,102.24
894,102.184
895,102.376
896,102.761
897,102.158
898,102.663
899,102.933
900,102.774
901,103.144
902,103.194
903,102.995
904,102.962
905,103.029
906,103.405
907,103.385
908,103.309
909,103.199
910,103.285
911,103.657
912,102.987
913,103.496
914,103.749
915,103.559
916,104.086
917,104.105
918,103.868
919,103.781
920,102.445
921,102.707
922,102.731
923,102.644
924,102.516
925,102.539
926,102.8
927,102.346
928,102.63
929,102.822
930,102.65
931,102.968
932,102.92
933,102.693
934,102.59
935,102.668
936,103.368
937,103.131
938,103.018
939,102.99
940,103.487
941,104.185
942,102.806
943,104.078
944,104.42
945,104.247
946,105.163
947,105.236
948,105.129
949,105.179
950,104.622
951,105.353
952,105.083
953,104.865
954,104.817
955,105.54
956,106.36
957,104.42
958,106.135
959,106.567
960,106.334
961,107.353
962,107.384
963,107.163
964,107.232
965,106.032
966,106.871
967,106.499
968,105.908
969,106.008
970,106.829
971,107.34
972,105.148
973,107.106
974,107.442
975,107.308
976,108.401
977,108.478
978,108.538
979,108.497
980,101.657
981,101.731
982,101.676
983,101.592
984,101.509
985,101.479
986,101.531
987,101.362
988,101.335
989,101.321
990,101.144
991,101.003
992,100.857
993,100.649
994,100.396
995,102.55
996,103.069
997,103.085
998,103.059
999,103.239
1000,103.546
1001,104.068
1002,103.196
1003,103.966
1004,104.106
1005,104.001
1006,104.486
1007,104.661
1008,104.555
1009,104.515
1010,102.885
1011,103.483
1012,103.502
1013,103.438
1014,103.666
1015,104.06
1016,104.633
1017,103.569
1018,104.493
1019,104.653
1020,104.544
1021,105.128
1022,105.332
1023,105.281
1024,105.259
1025,100.05
1026,100.954
1027,101.873
1028,99.811
1029,101.732
1030,102.03
1031,102.064
1032,103.248
1033,103.421
1034,103.727
1035,103.88
1036,102.474
1037,102.749
1038,102.617
1039,102.494
1040,102.298
1041,102.409
1042,102.739
1043,102.281
1044,102.553
1045,102.762
1046,102.566
1047,102.832
1048,102.802
1049,102.608
1050,102.484
1051,101.641
1052,102.111
1053,102.014
1054,102.079
1055,102.826
1056,103.046
1057,103.438
1058,102.591
1059,103.25
1060,103.436
1061,103.357
1062,103.729
1063,103.73
1064,103.618
1065,103.497
1066,102.694
1067,103.312
1068,103.185
1069,103.1
1070,103.051
1071,103.447
1072,104.062
1073,102.906
1074,103.969
1075,104.296
1076,104.124
1077,104.876
1078,104.969
1079,104.817
1080,104.856
1081,104.187
1082,104.798
1083,104.703
1084,104.582
1085,104.475
1086,104.69
1087,105.302
1088,104.066
1089,105.14
1090,105.446
1091,105.243
1092,106.332
1093,106.371
1094,106.185
1095,106.134
1096,103.599
1097,104.089
1098,104.027
1099,103.941
1100,103.834
1101,103.986
1102,104.481
1103,103.548
1104,104.334
1105,104.624
1106,104.429
1107,105.197
1108,105.253
1109,105.028
1110,104.964
1111,103.566
1112,104.507
1113,104.133
1114,103.908
1115,103.909
1116,104.703
1117,105.62
1118,103.583
1119,105.402
1120,105.773
1121,105.553
1122,106.799
1123,106.848
1124,106.785
1125,106.877
1126,105.692
1127,106.584
1128,106.197
1129,105.927
1130,105.904
1131,106.936
1132,107.98
1133,105.298
1134,107.601
1135,108.101
1136,107.815
1137,108.988
1138,109.077
1139,108.831
1140,108.944
1141,106.967
1142,107.983
1143,107.482
1144,106.842
1145,106.943
1146,108.115
1147,108.739
1148,105.779
1149,108.454
1150,108.779
1151,108.576
1152,109.925
1153,110.074
1154,110.212
1155,110.186
1156,103.291
1157,104.241
1158,104.221
1159,104.089
1160,104.481
1161,105.283
1162,106.127
1163,104.08
1164,105.868
1165,106.107
1166,106.07
1167,107.093
1168,107.201
1169,107.459
1170,107.54
1171,103.559
1172,104.081
1173,103.845
1174,103.674
1175,103.517
1176,103.85
1177,104.46
1178,103.461
1179,104.306
1180,104.586
1181,104.344
1182,104.975
1183,105.077
1184,104.846
1185,104.81
1186,102.197
1187,102.845
1188,102.596
1189,102.647
1190,103.799
1191,104.222
1192,104.696
1193,103.222
1194,104.434
1195,104.722
1196,104.693
1197,105.407
1198,105.437
1199,105.422
1200,105.329
1201,103.636
1202,104.508
1203,104.271
1204,104.084
1205,104.05
1206,104.716
1207,105.55
1208,103.762
1209,105.369
1210,105.719
1211,105.505
1212,106.638
1213,106.672
1214,106.587
1215,106.761
1216,105.461
1217,106.331
1218,106.084
1219,105.86
1220,105.771
1221,106.21
1222,107.072
1223,105.196
1224,106.805
1225,107.176
1226,106.932
1227,108.598
1228,108.577
1229,108.458
1230,108.406
1231,104.809
1232,105.546
1233,105.367
1234,105.197
1235,105.096
1236,105.418
1237,106.155
1238,104.608
1239,105.96
1240,106.297
1241,106.077
1242,107.472
1243,107.472
1244,107.323
1245,107.269
1246,104.303
1247,105.492
1248,104.962
1249,104.709
1250,104.748
1251,105.84
1252,107.01
1253,104.208
1254,106.627
1255,107.053
1256,106.785
1257,108.256
1258,108.371
1259,108.324
1260,108.458
1261,106.67
1262,107.67
1263,107.151
1264,106.909
1265,106.884
1266,108.188
1267,109.514
1268,105.938
1269,108.927
1270,109.483
1271,109.177
1272,110.503
1273,110.648
1274,110.405
1275,110.578
1276,106.285
1277,107.184
1278,106.684
1279,106.408
1280,106.561
1281,107.753
1282,108.377
1283,105.313
1284,108.055
1285,108.372
1286,108.209
1287,109.566
1288,109.7
1289,109.86
1290,109.848
1291,104.791
1292,105.587
1293,105.226
1294,104.932
1295,104.821
1296,105.395
1297,106.276
1298,104.605
1299,106.084
1300,106.396
1301,106.143
1302,107.142
1303,107.269
1304,106.991
1305,107.063
1306,102.908
1307,103.704
1308,103.324
1309,103.314
1310,104.74
1311,105.487
1312,106.073
1313,103.913
1314,105.688
1315,106.029
1316,105.95
1317,106.972
1318,107.041
1319,107.098
1320,107.065
1321,104.418
1322,105.52
1323,105.174
1324,104.92
1325,104.924
1326,105.905
1327,106.962
1328,104.473
1329,106.645
1330,107.04
1331,106.779
1332,108.165
1333,108.245
1334,108.182
1335,108.461
1336,106.881
1337,107.985
1338,107.568
1339,107.265
1340,107.212
1341,107.925
1342,108.997
1343,106.387
1344,108.581
1345,109.011
1346,108.711
1347,110.921
1348,110.943
1349,110.837
1350,110.808
1351,106.172
1352,107.163
1353,106.827
1354,106.556
1355,106.485
1356,107.062
1357,108.03
1358,105.804
1359,107.691
1360,108.094
1361,107.821
1362,109.775
1363,109.767
1364,109.653
1365,109.613
1366,105.239
1367,106.588
1368,105.793
1369,105.569
1370,105.628
1371,106.987
1372,108.396
1373,104.685
1374,107.794
1375,108.247
1376,107.953
1377,109.613
1378,109.777
1379,109.789
1380,109.981
1381,106.131
1382,107.229
1383,106.653
1384,106.241
1385,106.179
1386,107.057
1387,108.183
1388,105.843
1389,107.933
1390,108.26
